# name	source	id      — hand alignments; `-` clears an automatic one.
# Drafted by Claude 2026-09-02 for the seven roots, after the automatic pass
# put `agent` on WordNet's causal sense, `substance` on SUMO `Object` and
# `information` on one narrow synset. For Peter's review.
#
# physical-object: bounded things — WordNet object, SUMO CorpuscularObject
# (not Object, which also covers substances, regions and agents), DUL/DOLCE
# physical object, BFO object. Automatic values already right; kept explicit.
physical-object	wordnet	00002684
physical-object	sumo	CorpuscularObject
physical-object	sumo_rel	=
physical-object	dul	PhysicalObject
physical-object	dolce	physical-object
physical-object	bfo	BFO_0000030
# substance: stuff by kind. WordNet `matter` (00020827) is the parent of both
# of WordNet's `substance` synsets (the constituent one holds food, the
# kind-of-matter one holds materials); our branch needs both.
substance	wordnet	00020827
substance	sumo	Substance
substance	sumo_rel	=
substance	dul	Substance
substance	dolce	amount-of-matter
substance	schemaorg	schema:Substance
substance	yago	Substance
# agent: can act. WordNet `causal_agent` (person hangs here and under
# organism), SUMO AutonomousAgent, DUL Agent. Cyc Agent-Generic cleared: 64K
# descendants of 116K classes — it made wine and beer agents.
agent	wordnet	00007347
agent	sumo	AutonomousAgent
agent	sumo_rel	=
agent	dul	Agent
agent	opencyc	-
# event: happens. BFO process added; the rest was right.
event	bfo	BFO_0000015
# information: content that copies. WordNet `communication` (00033020 —
# document, message, written communication, language, signal all hang here),
# SUMO ContentBearingPhysical (texts, icons, speech), DUL InformationEntity,
# BFO generically dependent continuant, schema.org/YAGO CreativeWork,
# Cyc information.
information	wordnet	00033020
information	sumo	ContentBearingPhysical
information	sumo_rel	=
information	dul	InformationEntity
information	bfo	BFO_0000031
information	schemaorg	schema:CreativeWork
information	yago	CreativeWork
# place: WordNet `location` (00027167) — region, point, area all below it.
place	wordnet	00027167
place	sumo	Region
place	sumo_rel	=
place	dul	Place
# field-of-study: YAGO's `Bailiwick` is an area of responsibility, not a
# discipline — cleared.
field-of-study	yago	-
field-of-study	opencyc	Mx4rvVi3N5wpEbGdrcN5Y29ycA
# --- core names whose WordNet sense 1 is the wrong reading (found in review) ---
plant	wordnet	00017222
grain	wordnet	07802417
organization	wordnet	08008335
# --- sense corrections for core names (sense 1 was the wrong reading; glosses checked 2026-09-02) ---
amphibian	wordnet	01627424	# cold-blooded vertebrate typically living on land b
application	wordnet	06570110	# a program that gives a computer instructions that 
audio	wordnet	04262678	# a recording of acoustic signals
birth	wordnet	07320302	# the event of being born; "they celebrated the birt
drink	wordnet	07881800	# any liquid suitable for drinking; "may I take your
engineering	wordnet	06125041	# the discipline dealing with the art or science of 
flight	wordnet	00301192	# a scheduled trip by plane between designated airpo
history	wordnet	06155567	# the discipline that records and interprets past ev
image	wordnet	03931044	# a visual representation (of an object or scene or 
law	wordnet	06161718	# the branch of philosophy concerned with the law an
literature	wordnet	06169488	# the humanistic study of a body of literature; "he 
payment	wordnet	01120448	# the act of paying money
philosophy	wordnet	06158346	# the rational investigation of questions about exis
presentation	wordnet	03210940	# a visual representation of something
receipt	wordnet	06520222	# an acknowledgment (usually tangible) that payment 
settlement	wordnet	08672562	# an area where a group of families live together
transport	wordnet	00315986	# the act of moving something from one location to a
university	wordnet	08286569	# a large and diverse institution of higher learning
video	wordnet	04534127	# a recording of both the visual and audible compone
watercraft	wordnet	04530566	# a craft designed for water transportation
whale	wordnet	02062744	# any of the larger cetacean mammals having a stream
software-library	wordnet	07977592	# (computing) a collection of standard programs and 
art	wordnet	-	# no discipline sense in WordNet; unaligned
form	wordnet	06473563	# a printed document with spaces in which to write; 
fruit	wordnet	07705931	# edible reproductive body of a seed plant especiall
medicine	wordnet	06045562	# the science of dealing with the maintenance of hea
natural-event	wordnet	11408559	# natural phenomenon — core's natural-event is earthquake/flood/storm, not WordNet's generic happening
# --- found while preparing the decision lists ---
nonprofit	wordnet	-	# WordNet files nonprofit under noun.act and SUMO maps it +Managing: an organization became an event
human-body	sumo	-	# SUMO's mapping sends the body synset to Human; produced a body ⊑ organism dispute
region	wordnet	08630985	# the large-indefinite-location synset (475 below) rather than 'extended spatial location of something'
# state (the condition) must not borrow schema.org/YAGO State, which is the territory
state	schemaorg	-
state	yago	-
constituent-state	schemaorg	schema:State
