# label	offset-or-'-'	note — sense picks for tools/align_cpc.py (2026-09-07, UPPER.md §12). A label is the kind name read
# out of a CPC goods title (lower case, as written: "farmed clams"); `label@code` picks for one code only; `-` skips the
# label (a spurious kind, or no sense fits). An 8-digit key with `-` is a synset never proposed as new to core: a science
# pack's territory (chemistry's elements and compounds stay there unless everyday), or a residue CPC files as a product.
# --- the crop sections: the harvested product (grain, nut, seed, root), live animals the animal, prepared food the food
accumulators	04328329	storage battery
alabaster	14665351
alcohols	14708720	the chemical class (3413 monohydric alcohols)
alfalfa	07801779	fodder
almonds	07750586
ammunition	02703275
anise	07826653
appliances	-	generic in "instruments and appliances"
ash	-	3932 is ash the residue; WordNet's senses are the tree and its wood
asphalt	14667455
bags	-	the plain container sense 02773037 has no free name: core's `bag` is the suitcase (§10 open question)
balances	02777100
balata	12774496
ball	-	spurious: "ball or roller bearings"
balloons	02782093
balsams	14896714
barley	07803093
barrels	02795169
bars	02788689
baths	02808440
bearings	02817031
beet	07719839
beet sugar	07596258
berries	07742704
binders	02840245
blackberries	07744811
blankets	02849154
blocks	-
boards	-	the sawn board is `plank`, not among the senses matched
bodies	02861886	coachwork
bodkins	02861509
bombs	02866578
books	06410904	the published work, as core's `book`; directories and textbooks below it are works too
boxes	02883344
bran	-	3912 is the milling residue under wastes; bran the food would inherit `waste`
brazil nuts	07771731
bridges	02898711
broad beans	07729384
horse beans	-
buffalo	02407959
bulb	13134059
bulbs	13134059
buttons	02928608
cabinets	02933340
cable	02934168	463: the electrical conductor
cables	02933842	273: the rope
cakes	07628870
cane sugar	07595649
cans	02946921
cantaloupes	07755929
caps	02954938
capsules	-
caramel	07595180
caraway	-	WordNet's caraway is the leaves; the seed is caraway seed
cardamoms	07822323
cards	-	479: cards with magnetic strips
carpets	04118021
carrots	07730207
cartridges	02971691
casein	14735347
cases	02974697
casing	-
cassava	12927013
cement	14804175
cereals	07802417	core's `grain`: CPC 011 is the harvested grain (wheat, rice, barley are grains in core)
chain	02999410
chalk	14806598
charges	-
cheese	07850329
chestnuts	07772274
chicory roots	07731284
chocolate	07601999
christmas trees	03026626
cinnamon	07814203
clams	01956481
clay	14813182
clays	14813182
cloves	07814487
clutches	03054901
coats	03057021
cockles	01959985
cocks	04327682	stopcock
cocoa	07755089
cocoa butter	07602996
coconuts	07772935
coffee	07929351	0161 coffee, not roasted: the bean
compounds	-
concentrates@13	-
condensers	03087643
consoles	03092656
copper	14635722
coral	01915811
cord	-
coriander	07817465	the seed (section 01 and 2392 are spice seeds)
cotton	14870078	the fibre (0192 raw, 2616 carded)
couscous	07701597
covers	-
cowls	-
cranes	03126707
cream	07847198
creams	-
cumin	07814634
currants	07744246
curtain	03151077
curtains	03151077
cushions	03151500
cuts	07653394
cyanides	14826767
derricks	03178430
designs	-
diaries	-	the physical journal 03189707 has no free name (core's `diary` is the record)
diodes	03202760
disks	03706653	475 recording media
dog	-	spurious: "dog or cat food"
dolomite	14673747
doors	03221720
dresses	03236735
dried potatoes	07710616
drums	03249956
dust	-
edible products	-
eiderdowns	03266749
electricity	11450566
embryos	01458842
engines	03287733
essences	-
ethers	14709102
ethyl alcohol	14709265
farmed clams	01956481
farmed crabs	01976957
wild crabs	01976957
farmed fish	02512053
wild fish	02512053
farmed flatfish	02657368
wild flatfish	02657368
flatfish	02657368
farmed mussels	01963571
wild mussels	01963571
mussels	01963571
farmed octopus	01970164
wild octopus	01970164
octopus	01970164
farmed oysters	01960459
wild oysters	01960459
oysters	01960459
farmed scallops	01965889
wild scallops	01965889
scallops	01965889
wild clams	01956481
fish	02512053
freshwater fish	-	WordNet has only the food sense; 0421 is the live fish
farmed freshwater fish	-
wild freshwater fish	-
fennel	07814790
film	03339296	3633 plastics film
films	-
foil	-
footwear	03380867
frozen vegetables	07707451
preserved vegetables	07707451
vegetables	07707451
fruits	-	the edible fruit is WordNet's `edible fruit`, not matched by this label; 21 and 214 are bins
preserved fruits	-
gaiters	04269822
games	03413828
gas	-	spurious: "electricity, gas and water"
gauze	03429914
gears	03430551
generators	03433877
gherkins	07718671
ginger	07814925
girdles	03112869
glass	14881303	the material (section 37); core's `glass` is the tumbler (a §12 sense question)
gloves	03441112
gooseberries	07744430
grain	-	3791: abrasive grain
grapes	07758680
grates	03454536
grill	03459591	grille
grips	-
groundnuts	07737745
harness	-	03494706 has no free name (core's `harness` is the body harness)
hazelnuts	07772788
headgear	03502509
hearing aids	03506727
hearth	-
hides	01895735
hoods	03531281
horsehair	14908584
hoses	03539875
husks	14805899
hydroxide	14914670
hydroxides	14914670
ice	14915184
ink	14917635
instruments	-
iron	14642417
jacks	03588951
jellyfish	01910747
kenaf	12178358
kernels	13137010
knives	03623556
lances	04270891
lead	14643467	the metal; core's `lead` is the leash (a §12 sense question) — hand-named in names.tsv
leaflets	06413889
lenses	03656484
lentils	07725255
levels	03658858
lids	03661340
lifts	03281145
lime	14789885	374 lime the building material; core's `lime` is the fruit
lithographs	03678220
live plants	00017222
plants	00017222
loading	-
locks	03682487
loganberries	07745357
logs	14942762
machines	-
malt	07888909	the germinated grain (24320), not the lager
marble	14947807
mats	-
meal	07567707
meals	07567707
meat	07649854
melons	07755411
milk	07844042
millet	07802963
millstones	03766935
mines	03768132
missiles	-	03773504 has no free name (core's `missile` is the projectile)
mortars	-	14955889 has no free name (core's `mortar` is the bowl)
moulds	03779370
mulberries	07767171
mushrooms	07734744
newspapers	06267145
notebooks	06415419
nutmeg	07815424
nuts	13136556
oats	07804152
oil	-
oils	14966667
olives	07767344
onions	07722217
pads	-
paints	03875218
pallets	03879582
panels	03882058
paper	14974264
processed paper	14974264
pasta	07698915
paving	14977504
pencils	03908204
pens	03906997
pepper	07815588	piper: the peppercorn seasoning
peppers	07720442	capsicum
phenols	14989545
phosphates	14982265
pickets	03929952
picture	-
pictures	03931044
pigeon peas	07726230
piles	03936269
pipes	03944672
pistachios	07775050
plantains	07768423
plaster	-	14992287 has no free name (core's `plaster` is the adhesive tape; a §12 sense question)
plasters	-
plates	-
pompons	-
potatoes	07710616
powder	-
powders	-
prepared dishes	07557434
preserved fish	07775375
presses	03999992
prints	04003597
projectiles	04008634
props	-
pulp	14794418	cellulose pulp (32, 3211); hand-named in names.tsv
pulps	14794418
pumps	04021798
radiators	04041069
radio	-
raspberries	07745466
raw cane	-
raw silk	15041911
raw skins	01895735
skins	01895735
registers	-
revolvers	04086273
rice	07804323
roasters	-
rods	04100174
rubber	-
rye	12157179
sacks	04122825
safety	-
safety fuses	04126659
sails	04127904
salt	07813107
salts	15010703
seeders	04167346
sewing needles	04180063
share	-
sheet	-
sheets	-
shells	01904182
shooting galleries	04201845
shovels	-
silver	14654954
skimmers	04229959
skipjack	02628600
slate	14700162
slings	-
sloes	07752109
snails	01944390
sorghum	12137120
soya beans	07729485
spice	07812184
squash	07715561
squid	01971280
stakes	04298765
stamps	06855817	postage stamps; hand-named in names.tsv
starches	15053867
steel	14802450
sticks	-
stock	-
stone	-	the material 14696793 has no free name (core's `stone` is the fruit pit, `rock` the lump; a §12 sense question)
stoppers	03967942
straw	-
streets	04334599
strip	-
sugar	07859284
sugars	07859284
sugar beet	11833073
sugar cane	12132502
support	-
sweet potatoes	07712063
switches	-
table	-
tails	-
tanks	04388743
tape	-
tapes	-
taps	04559451
taro	07736813
telephones	04401088
television	-
thread	04426788
threshers	04428191
thresholds	03223686
ties	03815615
tiles	04435180
tin	14658855
tobacco	04442831
unmanufactured tobacco	04442831
torpedoes	04456472
towers	04460130
toys	03964744
tracks	-
tractors	04465501
trailers	-	04467307 has no free name (core's `trailer` is the mobile home)
trucks	04490091
truffles	07736971
tube	04493505
tubes	04493505
tubs	04493381
tunas	02626762
valves	04519153
vanilla	07828807
vans	04520170
vehicles	04524313
vessels	04531098
video	-
wafers	07695012
wagons	04543158
walking-sticks	04546194
wall	-
walnuts	07771212
water	14845743
water wheels	04563204
watermelons	07756951
webs	-
wheat	07803545
whey	07849733
whips	04577769
whistles	04579667
windows	04587648
wire	-	4295: welding wire
wood	15098161
wool	15104217	the fibre; hand-named in names.tsv
yams	07711907
# --- spurious kinds and residues seen in the first run
air	-	"air or vacuum pumps"
reservoirs	-
labels	-	WordNet's label under the hinge is the radioactive tracer
drawings	-
men's	-
technical	-
corrective	-
mountings	-
writing	-	"writing and drawing ink"
greaves	-	the tallow residue, not the armour
netting	-	42943 iron netting; WordNet's is the fabric
plans	-
collections	-
peaks	-
eyelashes	-
transfers	-
bond certificates	-
stock certificates	-
by-products	-
carbon copies	-
hand-written texts	-
harbours	-
# --- synsets not proposed as new: a science pack's territory (stays there; CPC only confirms it), or no everyday word
# pack territory (owner in the note), everyday promotions excepted: alloy, chromium, magnesium, nickel, odometer, pedometer, platinum, roe, titanium, zinc
14668895	-	animal-black: a pack owns it
14628668	-	antimony: a pack owns it
14618674	-	base-metal: a pack owns it
14773447	-	basic-iron: a pack owns it
14631295	-	beryllium: a pack owns it
14631502	-	bismuth: a pack owns it
13417410	-	bond: a pack owns it
14632444	-	cadmium: a pack owns it
14635290	-	cobalt: a pack owns it
