# offset	name	note — GENERATED by tools/align_gpt.py from the Google Product Taxonomy; do not edit (hand names go in names.tsv, sense picks in gpt-picks.tsv)
01982650	lobster	gpt: lobster — any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Pa
02670935	accelerometer	gpt: accelerometer — an instrument for measuring the acceleration of aircraft or rockets
02672831	accordion	gpt: accordion — a portable box-shaped free-reed instrument
02677718	action-mechanism	gpt: action — the operating part that transmits power to a mechanism
02678897	adapter	gpt: adapter — device that enables something to be used in a way different from that for which it was int
02685995	airbrush	gpt: airbrush — an atomizer to spray paint by means of compressed air
02686379	air-conditioner	gpt: air conditioner; air conditioning — a system that keeps air cool and dry
02687992	landing-field	gpt: field — a place where planes take off and land
02690809	air-mattress	gpt: air mattress — a mattress that can be stored flat and inflated for use
02690941	air-duct	gpt: air duct — a duct that provides ventilation (as in mines)
02700258	altimeter	gpt: altimeter — an instrument that measures the height above ground
02703275	ammunition	gpt: ammunition — projectiles to be fired from a gun
02709367	anchor	gpt: anchor — a mechanical device that prevents a vessel from moving
02709637	anchor-chain	gpt: anchor chain — the chain or rope that attaches an anchor to a vessel
02710429	anemometer	gpt: anemometer — a gauge for recording the speed and direction of wind
02713097	anklet	gpt: anklet — an ornament worn around the ankle
02714751	answering-machine	gpt: answering machine — an electronic device that answers the telephone and records messages
02715229	antenna	gpt: antenna — an electrical device that sends or receives radio or television signals
02725872	anvil	gpt: anvil — a heavy block of iron or steel on which hot metals are shaped by hammering
02730437	applique	gpt: applique — a decorative design made of one material sewn over another
02730930	apron	gpt: apron — a garment of cloth or leather or plastic that is tied about the waist and worn to protect 
02739550	armoire	gpt: armoire — a large wardrobe or cabinet
02743547	fine-art	gpt: art — the products of human creativity
02747177	trash-can	gpt: trash can — a bin that holds rubbish until it is collected
02747802	ashtray	gpt: ashtray — a receptacle for the ash from smokers' cigars or cigarettes
02754103	nebulizer	gpt: nebulizer; sprayer — a dispenser that turns a liquid (such as perfume) into a fine mist
02756854	audio-amplifier	gpt: audio amplifier — an amplifier that increases the amplitude of reproduced sound
02758490	auger	gpt: auger — hand tool for boring holes
02758960	autoclave	gpt: autoclave; sterilizer — a device for heating substances above their boiling point
02763714	awl	gpt: awl — a pointed tool for marking surfaces or for punching small holes
02763901	awning	gpt: awning — a canopy made of canvas to shelter people or things from rain or sun
02764044	ax	gpt: ax — an edge tool with a heavy bladed head mounted across a handle
02764505	axe-head	gpt: axe head — the cutting head of an ax
02768226	basketball-backboard	gpt: basketball backboard — a raised vertical board with basket attached
02769748	backpack	gpt: backpack — a bag carried by a strap on your back or shoulder
02772700	badminton-racquet	gpt: badminton racquet — a light long-handled racket used by badminton players
02774630	luggage	gpt: luggage — cases used to carry belongings when traveling
02776205	decoy	gpt: decoy; lure — something used to lure fish or other animals into danger so they can be trapped or killed
02776631	bakery	gpt: bakery — a workplace where baked goods (breads and cakes and pastries) are produced or sold
02776825	balaclava	gpt: balaclava — a cap that is close-fitting and woolen and covers all of the head but the face
02777292	balance-beam	gpt: balance beam — a gymnastic apparatus used by women gymnasts
02779845	ballast	gpt: ballast — any heavy material used to stabilize a ship or airship
02780588	ballcock	gpt: ballcock — floating ball that controls level in a water tank
02786198	bandana	gpt: bandana — large and brightly colored handkerchief
02786837	band-saw	gpt: band saw — an endless saw consisting of a toothed metal band that is driven around two wheels
02788148	handrail	gpt: handrail — a railing at the side of a staircase or balcony to prevent people from falling
02793089	baritone-horn	gpt: baritone horn — the second lowest brass wind instrument
02794156	barometer	gpt: barometer — an instrument that measures atmospheric pressure
02796318	barrette	gpt: barrette — a pin for holding women's hair in place
02797295	wheelbarrow	gpt: wheelbarrow — a cart for carrying small loads
02797455	bar-soap	gpt: bar soap — soap in the form of a bar
02799175	baseball-bat	gpt: baseball bat — an implement used in baseball by the batter
02800213	mitt	gpt: mitt — the handwear used by fielders in playing baseball
02802215	basketball-hoop	gpt: basketball hoop — horizontal circular metal hoop supporting a net through which players try to throw the bas
02803666	bass-drum	gpt: bass drum — a large drum with two heads
02804252	tuba	gpt: tuba — the lowest brass wind instrument
02804414	bassinet	gpt: bassinet — a basket (usually hooded) used as a baby's bed
02804610	bassoon	gpt: bassoon — a double-reed instrument
02805283	baster	gpt: baster — a tube with a rubber bulb used to take up and release melted fat or gravy in order to mois
02807401	bath-mat	gpt: bath mat — a heavy towel or mat to stand on while drying yourself after a bath
02808304	bath-towel	gpt: bath towel — a large towel
02814428	beach-towel	gpt: beach towel — very large towel to dry yourself after swimming
02815071	bead	gpt: bead — a small ball with a hole through the middle
02815834	beaker	gpt: beaker — a flatbottomed jar made of glass or plastic
02820210	bedding	gpt: bedding — coverings that are used on a bed
02823124	pager	gpt: pager — an electronic device that generates a series of beeps when the person carrying it is being
02826259	bellows	gpt: bellows — a mechanical device that blows a strong current of air
02828299	belt-buckle	gpt: belt buckle — the buckle used to fasten a belt
02834295	bib	gpt: bib — a napkin tied under the chin of a child while eating
02835412	bicycle-chain	gpt: bicycle chain — a chain that transmits the power from the pedals to the rear wheel of a bicycle
02835724	bicycle-pump	gpt: bicycle pump — a small pump that fills bicycle tires with air
02836035	bicycle-wheel	gpt: bicycle wheel — the wheel of a bicycle
02836174	bidet	gpt: bidet — a basin for washing genitals and anal area
02839351	billiard-ball	gpt: billiard ball — ball used in playing billiards
02840245	binder	gpt: binder — holds loose papers or magazines
02841315	binoculars	gpt: binoculars — an optical instrument designed for simultaneous use by both eyes
02843553	bird-feeder	gpt: bird feeder — an outdoor device that supplies food for wild birds
02843684	birdhouse	gpt: birdhouse — a shelter for birds
02846511	chalkboard	gpt: chalkboard — sheet of slate
02850732	blender	gpt: blender — an electrically powered mixer with whirling blades that mix or chop or liquefy foods
02853449	occlusion	gpt: closure — an obstruction in a pipe or tube
02859343	boat-hook	gpt: boat hook — pole-handled hook used to pull or push boats
02863750	boiler	gpt: boiler — sealed vessel where water is converted to steam
02866386	bolt-cutter	gpt: bolt cutter — an implement for cutting bolts
